temperature_2m_mean (°C),rain_sum (mm),wind_speed_10m_max (km/h),weather_code (wmo code),wind_direction_10m_dominant (°),shortwave_radiation_sum (MJ/m²),precipitation_hours (h),cloud_cover_mean (%),dew_point_2m_mean (°C),relative_humidity_2m_mean (%),wind_gusts_10m_mean (km/h),wind_gusts_10m_min (km/h),sin_day,had_precipitation
28.6,0.0,26.6,3,285,15.54,0,99,10.5,36,22.3,12.6,-0.9288394302558068,0
26.6,0.0,25.3,2,62,17.62,0,5,15.9,55,34.5,23.4,-0.9223291176290545,0
24.4,0.6,20.7,53,4,13.87,1,46,18.6,71,31.4,9.4,-0.9155458729775467,1
22.5,0.0,14.8,1,314,14.2,0,17,16.0,69,20.6,12.2,-0.9084917035725082,0
22.3,0.0,17.6,3,313,13.81,0,56,14.6,65,22.0,10.8,-0.9011686968561569,0
21.2,0.5,18.7,51,285,13.98,2,41,12.8,60,22.2,10.4,-0.8935790198239952,1
21.1,0.0,17.2,1,302,14.47,0,18,11.6,57,22.3,12.6,-0.8857249183835637,0
20.6,0.0,11.2,3,289,15.04,0,26,9.1,52,17.1,9.0,-0.8776087166898392,0
21.8,0.0,16.3,3,17,14.08,0,18,12.4,57,20.7,8.6,-0.8692328164574792,0
22.7,0.0,22.5,3,22,14.18,0,36,15.8,69,30.7,17.6,-0.8605996962501181,0
23.4,0.0,24.4,2,10,14.52,0,19,14.3,59,35.5,25.2,-0.8517119107469189,0
22.6,1.9,21.6,61,356,14.17,3,19,13.7,59,33.3,24.1,-0.8425720899866032,1
19.3,6.9,18.1,63,318,8.17,6,62,16.7,86,24.1,14.8,-0.8331829385891785,1
19.0,0.2,17.3,51,260,6.81,1,81,16.3,85,21.5,14.4,-0.8235472349556007,1
19.9,1.2,16.1,51,284,11.11,5,58,16.1,80,21.6,10.4,-0.8136678304455991,1
20.4,0.8,10.5,51,328,11.1,5,55,16.5,80,15.1,9.4,-0.8035476485339116,1
20.4,0.0,14.3,3,349,13.95,0,26,14.9,74,21.1,14.8,-0.7931896839451843,0
18.9,0.0,19.7,2,300,12.23,0,24,13.0,71,21.6,9.7,-0.7825970017677834,0
19.5,0.0,16.8,2,294,13.01,0,32,11.7,63,21.2,10.4,-0.7717727365467836,0
19.7,0.0,14.2,3,322,12.72,0,35,12.4,65,19.6,10.4,-0.7607200913564104,0
19.8,0.0,12.0,1,29,14.41,0,8,12.2,65,16.1,7.9,-0.7494423368521954,0
20.1,0.0,18.1,1,32,15.63,0,6,11.8,63,25.0,14.8,-0.7379428103031386,0
21.1,0.0,19.6,3,37,15.09,0,50,12.9,65,26.9,19.1,-0.7262249146041543,0
19.9,0.0,10.8,3,319,8.76,0,81,15.1,76,13.4,6.8,-0.7142921172691032,0
19.8,0.2,16.9,51,270,12.11,1,44,14.8,76,20.8,10.1,-0.7021479494046978,1
19.4,1.1,18.5,51,290,13.17,4,24,12.3,67,21.8,9.0,-0.6897960046655887,1
18.9,0.0,10.2,2,260,13.4,0,30,11.6,65,15.8,10.1,-0.6772399381909491,0
19.8,0.0,14.5,1,351,14.26,0,14,12.1,64,16.8,9.4,-0.6644834655228552,0
19.5,0.0,17.1,3,40,13.08,0,71,11.5,65,22.9,13.3,-0.6515303615068021,0
19.9,0.0,13.6,3,25,13.81,0,56,11.7,64,18.1,10.4,-0.6383844591746642,0
20.0,0.0,11.6,2,344,14.02,0,11,11.9,65,16.7,10.1,-0.6250496486104377,0
19.8,0.0,19.7,1,16,14.04,0,3,12.4,66,22.6,9.4,-0.6115298757991053,0
19.8,0.0,23.9,1,31,14.34,0,2,11.1,62,31.7,21.6,-0.5978291414589552,0
19.8,0.0,15.1,3,93,13.73,0,75,8.9,52,18.5,11.5,-0.5839514998576998,0
20.2,0.0,17.4,3,198,13.99,0,68,8.3,48,22.2,13.0,-0.5699010576127624,0
20.0,0.0,9.4,3,221,14.4,0,28,7.9,48,15.4,10.4,-0.5556819724760489,0
20.3,0.0,9.5,3,37,12.5,0,98,8.0,50,13.7,10.1,-0.5412984521036173,0
19.9,0.0,13.3,3,17,14.18,0,36,9.3,53,20.3,13.7,-0.5267547528105542,0
17.7,0.0,19.8,3,306,11.96,0,19,10.9,66,19.6,6.5,-0.5120551783114646,0
17.3,0.0,18.4,1,319,12.84,0,18,8.9,61,23.8,12.6,-0.4972040784469378,0
16.5,0.0,15.0,1,313,12.73,0,11,7.1,56,17.3,10.1,-0.4822058478963526,0
17.2,0.0,17.4,2,318,10.57,0,29,9.6,64,21.1,8.6,-0.46706492487743034,0
15.9,0.0,19.6,3,29,10.73,0,42,9.0,66,23.8,10.1,-0.451785789832884,0
15.3,0.0,32.4,3,30,11.52,0,38,4.7,50,40.6,21.2,-0.4363729641045924,0
13.9,0.0,27.0,0,38,14.15,0,0,2.5,47,35.1,21.6,-0.42083100859565564,0
14.7,0.0,15.3,0,28,13.77,0,1,6.0,59,20.8,13.7,-0.4051645224207563,0
15.8,0.0,15.6,0,30,13.39,0,4,8.3,65,21.2,13.3,-0.3893781415452015,0
15.8,0.0,15.6,2,4,12.22,0,24,8.3,65,18.0,8.6,-0.37347653741307074,0
16.8,0.0,14.3,2,325,10.56,0,41,10.0,67,18.5,7.9,-0.3574644155648614,0
16.3,0.0,14.8,3,305,10.66,0,33,9.6,68,19.5,10.4,-0.34134651424503615,0
15.6,0.0,20.3,2,239,9.9,0,46,8.6,66,20.6,6.5,-0.3251276029999093,0
14.6,2.2,18.9,51,263,7.38,9,61,8.1,66,27.0,11.5,-0.30881248126625377,1
15.4,0.0,14.7,3,316,11.2,0,48,7.6,64,16.9,9.7,-0.29240597695107734,0
15.4,0.0,9.0,3,264,12.7,0,44,8.0,65,12.5,4.0,-0.27591294500296043,0
15.3,0.0,8.3,3,261,9.39,0,87,6.1,55,10.3,3.2,-0.2593382659754056,0
14.7,0.0,20.9,3,251,11.65,0,49,6.9,61,21.5,8.6,-0.2426868445825954,0
14.6,0.0,14.6,3,211,10.94,0,42,7.0,63,18.6,9.7,-0.22596360824801906,0
14.6,0.0,18.9,2,208,11.93,0,26,5.4,55,23.2,9.4,-0.20917350564635637,0
14.5,0.0,16.3,2,258,10.59,0,21,8.1,67,18.8,10.4,-0.19232150523909483,0
14.7,0.0,12.2,2,347,11.18,0,23,9.2,73,14.2,6.8,-0.17541259380427843,0
15.4,0.0,20.0,3,23,11.91,0,37,8.2,66,24.7,14.8,-0.15845177496083632,0
15.3,0.0,19.1,2,351,10.29,0,28,9.1,70,26.2,15.5,-0.14144406768794202,0
15.6,0.0,17.3,3,348,8.43,0,39,8.1,64,20.7,10.1,-0.12439450483979998,0
14.8,0.0,14.1,0,33,13.41,0,5,6.6,62,17.2,9.4,-0.10730813165636247,0
14.2,0.0,11.9,1,37,13.71,0,3,5.8,61,15.4,9.0,-0.09019000427034513,0
15.0,0.0,16.8,2,43,12.66,0,29,7.8,66,20.6,10.4,-0.07304518821104743,0
15.8,0.0,17.7,1,50,13.91,0,20,5.0,58,23.8,13.3,-0.05587875690537313,0
14.0,0.0,16.6,1,249,13.65,0,7,5.3,59,20.8,7.6,-0.03869579017652689,0
15.5,0.0,19.5,2,287,11.64,0,24,9.0,68,23.6,13.3,-0.021501372740813793,0
14.3,0.2,19.2,51,242,9.34,1,59,7.9,68,20.9,10.4,-0.004300592702981974,1
11.8,0.7,25.5,51,302,11.64,4,48,5.0,65,30.9,16.6,0.017201575418260506,1
11.0,0.0,15.3,3,265,9.06,0,54,2.3,56,17.3,10.8,0.03439806061360801,0
12.1,0.0,18.2,3,217,11.32,0,33,3.4,56,24.0,9.7,0.051584366869408364,0
14.0,0.0,20.6,2,202,13.53,0,19,3.5,51,25.5,11.2,0.06875540848113941,0
14.8,0.0,21.1,0,194,13.91,0,0,-0.2,37,30.7,23.8,0.08590610426133272,0
16.5,0.0,14.8,1,191,13.82,0,5,-1.9,29,23.1,14.8,0.10303137904317879,0
16.7,0.1,27.1,51,205,9.31,1,39,-2.7,28,32.1,16.9,0.1201261651823505,1
15.6,0.0,25.2,3,246,11.23,0,47,4.8,49,33.9,19.1,0.13718540405660057,0
16.4,0.0,14.3,3,279,7.8,0,47,9.1,63,18.5,10.1,0.1542040475626894,0
14.6,0.0,12.5,1,61,14.44,0,4,6.0,61,14.8,7.2,0.17117705961019986,0
14.6,0.0,13.2,3,39,14.33,0,22,5.9,59,17.8,11.2,0.18809941761179758,0
15.1,0.0,16.4,0,53,14.51,0,0,8.2,67,20.9,13.3,0.20496611396949532,0
14.6,0.0,9.4,0,16,14.68,0,0,7.2,66,14.4,10.8,0.22177215755648186,0
14.7,0.0,16.8,2,295,13.41,0,19,7.1,62,19.6,7.2,0.23851257519407648,0
15.0,0.0,12.8,2,3,13.14,0,28,6.2,58,17.8,11.5,0.2551824131233728,0
13.6,0.0,12.9,3,49,15.12,0,7,5.2,61,16.1,9.0,0.2717767384711357,0
14.6,0.0,26.4,3,188,15.25,0,13,4.2,54,30.1,9.0,0.2882906407095177,0
12.9,0.0,30.6,0,239,15.47,0,0,-1.2,38,43.5,31.0,0.3047192331091634,0
12.4,0.0,22.5,2,250,14.46,0,16,1.3,47,30.9,9.7,0.321057654185271,0
13.0,0.0,7.8,2,308,14.45,0,16,3.4,54,9.8,4.3,0.3373010691361842,0
13.5,0.0,9.2,3,1,14.75,0,46,2.4,49,13.8,6.8,0.3534446712740877,0
13.1,0.0,12.9,1,1,15.62,0,12,4.4,60,18.0,9.4,0.3694836834473831,0
13.2,0.0,22.6,1,331,14.41,0,22,4.6,61,25.4,11.5,0.38541335945432564,0
10.7,0.1,26.3,51,288,7.88,1,56,4.1,65,27.7,12.6,0.4012289854475009,1
9.8,0.2,24.9,51,281,11.35,1,38,2.4,61,27.6,15.1,0.4169258813287287,1
8.7,0.8,21.3,51,274,12.05,4,33,2.5,68,22.9,11.2,0.4324994021339788,1
8.6,3.5,10.3,55,266,5.44,9,75,3.9,74,16.6,11.5,0.44794493940789115,1
9.2,0.0,17.4,3,29,12.14,0,38,2.7,68,20.7,12.2,0.4632579225674917,0
10.7,0.0,15.1,0,45,16.17,0,3,2.3,59,16.9,8.6,0.4784338202547012,0
11.7,0.0,13.4,3,17,12.97,0,57,4.8,66,16.8,9.0,0.49346814167723735,0
14.1,0.0,10.4,3,346,13.05,0,48,8.1,70,14.4,6.8,0.5083564379375122,0
14.7,0.0,13.8,3,344,14.71,0,63,8.0,67,19.2,7.9,0.5230943033491326,0
14.5,0.0,18.1,3,353,12.65,0,29,7.6,67,22.2,9.4,0.5376773767406141,0
14.5,0.0,20.8,0,44,16.74,0,3,7.0,65,25.2,11.5,0.5521013427459208,0
16.1,0.0,12.6,0,103,17.34,0,1,5.6,58,19.5,9.7,0.5663619330814524,0
14.4,0.0,18.8,0,250,16.65,0,3,5.9,58,20.6,10.1,0.580454927809098,0
13.5,0.0,29.2,3,278,14.8,0,28,5.5,60,34.6,13.7,0.5943761565849831,0
12.1,0.0,27.2,3,288,9.43,0,64,2.3,53,34.8,18.7,0.6081214998935418,0
12.5,0.0,11.5,3,301,10.38,0,73,2.7,52,18.5,11.5,0.6216868902665479,0
13.1,0.0,15.1,3,353,15.88,0,38,2.9,53,20.0,11.2,0.6350683134867438,0
13.5,0.0,17.8,3,317,13.05,0,40,3.8,55,22.6,11.5,0.6482618097757122,0
13.1,0.0,9.2,0,260,17.89,0,0,3.3,57,13.9,5.4,0.6612634749656386,0
14.9,0.0,8.1,0,111,17.96,0,0,1.3,45,11.0,7.2,0.6740694616546161,0
16.4,0.0,10.8,3,7,18.06,0,14,1.4,41,12.9,7.6,0.6866759803451553,0
18.0,0.0,10.1,0,68,18.52,0,0,1.7,39,11.8,8.3,0.6990793005655562,0
20.8,0.0,27.0,0,68,18.86,0,0,2.3,32,30.9,13.3,0.7112757519738152,0
21.6,0.0,22.9,0,54,18.9,0,0,6.1,41,34.2,25.6,0.7232617254437388,0
21.8,0.0,16.5,3,53,18.48,0,34,7.5,46,27.2,23.4,0.7350336741329413,0
23.0,0.0,15.3,3,147,17.41,0,73,5.2,35,18.3,9.7,0.746588114532413,0
20.8,0.0,18.1,3,291,19.03,0,14,7.0,42,24.6,14.4,0.7579216274973472,0
17.9,0.0,16.3,3,340,18.75,0,24,10.3,65,20.1,9.0,0.7690308592589181,0
15.7,0.3,31.1,51,295,11.81,2,53,8.9,68,35.2,9.7,0.7799125224167177,1
15.9,0.0,29.2,3,304,13.33,0,43,5.7,53,42.2,22.3,0.7905633969115482,0
15.2,0.0,8.6,2,259,18.85,0,9,6.8,62,14.7,7.2,0.8009803309782905,0
16.9,0.0,9.8,0,189,19.88,0,0,5.2,51,13.6,5.8,0.8111602420785621,0
18.8,0.0,9.8,2,190,19.94,0,14,3.6,41,14.5,8.6,0.8211001178128892,0
20.0,0.0,15.4,0,249,20.17,0,0,4.1,39,17.7,9.0,0.8307970168121247,0
18.4,0.0,15.7,3,334,20.03,0,21,8.3,59,21.3,10.1,0.8402480696078469,0
17.9,0.0,17.8,3,52,20.67,0,51,8.0,59,26.9,17.6,0.8494504794814806,0
21.0,0.0,18.5,3,55,20.7,0,27,7.7,52,27.6,20.2,0.8584015232918917,0
24.4,0.0,14.5,3,69,20.64,0,54,4.8,34,15.6,5.8,0.8670985522812081,0
22.3,0.0,27.3,3,222,13.98,0,83,4.0,35,23.8,9.4,0.8755389928586302,0
17.5,0.4,17.4,51,292,19.83,1,28,7.6,56,24.4,10.8,0.8837203473619977,1
16.9,0.0,11.8,0,284,20.98,0,1,5.1,50,17.4,9.4,0.8916401947968874,0
17.9,0.0,16.5,3,335,21.5,0,18,4.3,47,21.3,10.4,0.8992961915530253,0
16.5,0.0,17.1,3,46,20.9,0,33,5.7,55,23.7,15.8,0.9066860720977985,0
17.0,0.0,16.0,3,38,20.19,0,42,7.3,58,21.6,10.8,0.9138076496466615,0
18.8,0.0,15.3,3,68,19.65,0,42,6.0,53,18.4,11.2,0.9206588168102428,0
22.6,0.0,21.7,3,211,21.9,0,31,0.2,27,25.6,12.6,0.9272375462179537,0
19.8,0.0,18.9,1,36,22.32,0,7,5.0,47,23.7,8.6,0.9335418911179212,0
20.7,0.0,27.0,3,63,22.43,0,19,2.1,31,39.8,26.3,0.9395699859530622,0
21.8,0.0,28.5,3,67,17.27,0,97,-0.3,25,41.5,19.4,0.945320046913132,0
25.4,0.1,25.0,51,192,16.75,1,71,5.7,29,33.6,18.4,0.9507903724625832,1
19.7,0.0,25.1,1,255,23.01,0,4,4.5,40,37.6,19.8,0.9559793438440766,0
17.8,0.0,25.9,3,270,21.55,0,27,3.8,40,33.3,22.7,0.9608854255574977,0
16.6,0.0,18.6,3,294,17.51,0,34,7.1,58,22.6,6.5,0.9655071658143364,0
16.7,0.0,17.4,1,346,22.28,0,6,6.7,56,20.6,8.3,0.969843196967294,0
16.9,0.0,13.1,0,54,23.27,0,0,4.2,50,20.6,12.6,0.9738922359149924,0
21.4,0.0,22.1,3,206,23.17,0,34,2.3,34,29.5,15.1,0.9776530844816641,0
17.3,0.0,21.5,3,316,16.75,0,47,7.9,57,29.8,10.8,0.981124629771712,0
16.7,0.0,17.4,1,332,23.03,0,8,5.5,53,23.5,10.1,0.984305844499033,0
17.6,0.0,14.1,0,39,24.05,0,0,4.5,47,19.2,9.0,0.9871957872910085,0
21.0,0.0,14.4,3,142,20.87,0,64,1.0,34,22.1,10.8,0.9897936029670716,0
24.6,0.0,25.5,3,202,20.87,0,97,-3.9,16,33.1,14.0,0.992098522791769,0
22.2,0.0,21.3,3,61,12.54,0,98,1.9,28,26.8,9.4,0.9941098647022418,0
22.3,2.4,12.2,51,237,6.82,10,100,10.3,49,24.4,10.1,0.9958270335100595,1
17.4,0.0,20.9,3,323,22.49,0,18,8.6,61,26.8,13.0,0.9972495210773451,0
16.1,0.0,22.9,3,291,15.81,0,30,6.4,55,28.6,10.4,0.998376906467142,0
16.4,0.0,18.2,2,342,23.69,0,16,4.8,50,25.2,12.6,0.9992088560679753,0
16.4,0.0,20.1,0,16,24.61,0,1,5.5,52,26.9,11.9,0.9997451236925734,0
17.8,0.0,25.0,1,36,25.01,0,6,5.7,51,35.3,17.6,0.9999855506507186,0
19.2,0.0,26.7,3,45,25.71,0,13,5.9,51,38.2,29.5,0.9999300657962057,0
20.9,0.0,19.5,3,36,25.37,0,29,8.5,53,30.8,23.0,0.9995786855478958,0
21.1,0.0,17.4,0,34,25.64,0,0,7.1,50,26.7,18.7,0.9989315138848577,0
21.5,0.0,16.9,1,55,25.96,0,2,3.8,39,22.1,14.0,0.9979887423155984,0
23.6,0.0,17.2,3,75,25.96,0,17,3.9,31,24.7,12.2,0.9967506498213929,0
23.1,0.0,13.6,3,23,25.83,0,27,7.2,42,22.4,14.4,0.9952176027737294,0
25.1,0.0,15.5,0,65,25.98,0,0,2.6,29,19.9,14.0,0.9933900548258936,0
29.9,0.0,19.9,3,163,24.9,0,42,1.4,17,24.5,12.6,0.9912685467787256,0
31.0,0.0,30.9,3,159,21.82,0,69,5.9,22,36.3,14.0,0.9888537064205885,0
25.3,0.0,22.5,3,15,23.19,0,40,9.0,37,35.3,24.1,0.986146248341595,0
22.2,0.0,23.5,3,327,26.04,0,15,9.3,46,26.0,12.6,0.9831469737221499,0
18.7,0.0,23.2,3,296,18.24,0,32,9.9,59,29.4,9.4,0.9798567700958665,0
19.2,0.0,20.4,3,315,14.34,0,41,10.9,62,29.5,15.5,0.9762766110869321,0
20.7,0.0,11.7,3,338,25.06,0,30,10.8,60,19.0,11.9,0.9724075561219968,0
23.3,0.0,10.6,0,31,26.56,0,0,7.5,41,16.1,9.7,0.9682507501166718,0
26.1,0.0,17.9,0,46,26.72,0,1,3.6,27,23.8,11.5,0.9638074231367307,0
26.0,0.0,18.0,0,26,27.45,0,0,2.3,25,25.7,13.7,0.9590788900341131,0
22.7,0.0,20.5,1,31,27.23,0,6,7.9,47,29.7,15.8,0.9540665500578387,0
23.4,0.0,22.0,2,32,27.1,0,8,11.0,54,33.3,21.6,0.9487718864399473,0
25.2,0.0,17.5,0,20,27.1,0,0,11.2,51,25.4,18.7,0.9431964659565866,0
27.0,0.0,16.5,1,13,27.37,0,3,6.9,35,20.7,10.1,0.9373419384643772,0
26.3,0.0,17.3,1,32,27.77,0,3,5.2,30,23.6,14.0,0.9312100364121947,0
25.6,0.0,14.3,3,20,27.06,0,22,8.4,38,22.1,14.4,0.9248025743285089,0
29.4,0.0,20.1,3,175,27.03,0,12,5.7,28,25.0,9.4,0.9181214482844364,0
27.5,0.0,18.0,2,359,27.69,0,7,9.0,37,25.8,19.1,0.9111686353326631,0
28.0,0.0,27.3,2,258,26.79,0,19,6.5,31,35.6,12.2,0.9039461929224011,0
22.1,0.0,20.2,3,351,27.29,0,22,10.0,51,32.2,25.9,0.8964562582905575,0
21.2,0.0,17.7,1,7,27.75,0,5,7.7,48,27.7,14.0,0.8887010478292915,0
22.5,0.0,16.9,0,26,28.01,0,0,7.4,44,26.9,15.8,0.8806828564301475,0
25.8,0.0,12.1,0,61,27.95,0,0,3.2,30,17.7,6.5,0.8724040568049612,0
26.0,0.0,20.2,0,294,27.8,0,0,8.5,36,26.1,10.8,0.8638670987837349,0
25.2,0.0,23.1,3,23,27.63,0,28,10.2,47,21.8,7.9,0.8550745085896932,0
28.4,0.0,30.9,3,14,26.09,0,86,11.1,39,30.0,15.1,0.8460288880917339,0
23.2,0.0,22.8,3,316,25.69,0,80,8.8,45,25.4,7.9,0.8367329140344921,0
23.7,0.0,23.7,2,260,28.63,0,3,7.8,42,28.3,14.4,0.8271893372462497,0
21.5,0.0,15.2,3,300,25.46,0,49,9.8,53,23.6,7.6,0.8174009818249189,0
22.3,0.0,19.6,3,348,27.8,0,26,8.1,45,22.1,7.9,0.8073707443023492,0
24.1,0.0,16.3,3,53,27.78,0,26,8.5,43,23.8,16.6,0.7971015927871943,0
27.1,0.0,25.9,3,66,27.28,0,27,8.1,35,34.4,24.5,0.7865965660866021,0
25.2,0.0,23.3,1,22,28.43,0,2,9.7,42,36.9,27.4,0.7758587728069828,0
23.4,0.0,19.5,1,338,28.25,0,6,11.2,52,26.0,11.5,0.7648913904341225,0
24.7,0.0,15.4,0,7,28.72,0,0,10.5,49,20.5,9.0,0.753697664392914,0
29.6,0.0,13.5,3,40,26.51,0,54,8.2,29,18.6,10.4,0.742280907086982,0
34.3,0.0,22.7,3,66,28.0,0,29,7.9,21,21.7,14.8,0.7306444969184916,0
36.0,0.0,28.8,3,68,27.97,0,86,7.4,19,31.9,12.6,0.7187918772884232,0
31.3,0.0,24.0,3,27,28.3,0,18,14.1,37,33.7,20.9,0.7067265555776158,0
27.2,0.0,19.5,3,5,27.89,0,28,13.2,46,31.7,22.3,0.6944521021088763,0
24.0,0.0,17.7,3,327,29.18,0,9,10.2,47,28.4,14.8,0.6819721490904629,0
23.0,0.0,20.9,1,356,29.06,0,5,9.7,50,23.9,12.6,0.6692903895412567,0
23.8,0.0,16.6,3,29,29.11,0,10,9.2,45,27.3,14.0,0.6564105761979381,0
26.2,0.0,15.6,3,49,28.47,0,16,9.0,38,25.5,16.6,0.6433365204044917,0
28.3,0.0,25.9,3,285,28.4,0,30,9.5,34,34.3,16.9,0.6300720909843687,0
22.6,0.0,23.2,1,299,27.35,0,6,11.8,54,29.2,5.8,0.6166212130956382,0
22.9,0.0,18.4,0,320,28.86,0,2,10.1,49,28.0,13.3,0.6029878670694714,0
25.3,0.0,11.8,0,358,29.38,0,0,5.4,33,16.5,7.9,0.5891760872322963,0
26.6,0.0,22.7,0,285,29.14,0,0,7.4,31,32.0,15.1,0.5751899607119775,0
23.4,0.0,22.9,0,328,28.99,0,1,10.3,49,29.7,9.4,0.5610336262283677,0
23.7,0.0,23.7,1,303,28.37,0,5,10.6,48,30.1,10.4,0.5467112728685939,0
24.1,0.0,16.5,0,317,29.0,0,2,11.3,49,25.0,9.4,0.5322271388474397,0
25.5,0.0,16.0,0,32,29.36,0,1,10.3,45,23.8,12.2,0.5175855102531889,0
28.6,0.0,15.0,0,47,29.51,0,0,7.4,31,23.4,13.0,0.5027907197793043,0
32.3,0.0,16.7,3,2,29.15,0,28,6.3,22,21.0,9.0,0.4878471454423119,0
31.9,0.0,17.5,3,34,29.54,0,13,6.7,24,22.1,13.3,0.47275920928627757,0
34.6,0.0,12.6,3,37,28.83,0,33,4.3,17,18.4,12.2,0.4575313760742512,0
35.3,0.1,14.5,51,23,27.16,1,30,6.7,20,20.9,9.4,0.44216815196707204,1
30.9,0.0,19.6,1,349,28.97,0,5,11.9,35,29.5,14.8,0.42667408318992467,0
29.1,0.0,17.1,0,24,29.49,0,0,11.5,40,25.0,16.2,0.4110537546870351,0
32.9,0.0,12.2,3,61,29.29,0,12,7.5,25,17.3,9.4,0.3953117887649151,0
30.8,0.0,21.1,1,349,28.2,0,13,11.1,32,28.2,13.3,0.37945284372454435,0
26.3,0.0,21.6,1,338,29.02,0,5,13.6,51,29.4,13.0,0.36348161248290634,0
26.0,0.0,16.4,0,338,29.45,0,0,10.7,43,23.6,9.7,0.3474028211842774,0
28.0,0.0,16.5,0,40,28.67,0,1,10.4,37,21.6,11.2,0.3312212278016865,0
30.5,0.0,24.7,0,60,29.04,0,1,8.9,29,34.8,24.5,0.31494162072895193,0
29.4,0.0,22.9,0,37,29.24,0,0,13.7,43,36.5,29.9,0.2985688173637202,0
31.3,0.0,14.8,0,37,29.42,0,0,12.6,41,23.6,15.5,0.2821076626819194,0
30.4,0.0,20.6,0,337,29.17,0,0,12.9,37,29.7,16.2,0.26556302780405594,0
27.1,0.0,21.5,1,9,29.22,0,5,14.1,51,28.2,13.3,0.24893980855376657,0
28.0,0.0,24.2,1,20,29.09,0,4,13.8,49,31.3,14.0,0.23224292400907015,0
29.3,0.0,19.6,0,20,29.42,0,0,13.2,44,27.7,13.7,0.21547731504673012,0
30.2,0.0,16.6,0,28,29.63,0,0,12.7,39,25.2,12.2,0.19864794288017112,0
30.6,0.0,15.8,0,9,29.64,0,0,12.8,39,21.8,9.0,0.18175978759137534,0
31.1,0.0,20.4,0,353,29.42,0,0,13.1,38,24.5,8.3,0.16481784665719793,0
30.7,0.0,18.7,0,333,29.34,0,0,16.0,46,25.6,10.1,0.14782713347053048,0
30.8,0.0,20.5,3,342,28.66,0,14,17.9,55,25.5,12.2,0.13079267585675922,0
30.2,0.0,19.7,3,342,29.06,0,17,18.5,56,24.2,11.5,0.11371951458594969,0
30.6,0.0,19.5,2,357,28.93,0,7,17.2,53,24.1,12.2,0.0966127018812031,0
31.0,0.0,19.3,0,16,28.86,0,0,17.3,51,24.7,11.2,0.07947729992362097,0
29.1,0.0,22.2,1,347,28.63,0,3,17.1,52,29.8,19.4,0.062318379354325076,0
28.6,0.0,21.1,2,330,27.23,0,10,17.2,54,29.4,10.8,0.04514101777397193,0
29.9,0.0,18.5,0,329,28.76,0,2,16.6,51,21.3,8.6,0.02795029824021032,0
29.6,0.0,20.1,0,338,29.1,0,1,16.5,52,24.1,13.7,0.01075130776352193,0
28.5,0.0,19.9,2,347,28.37,0,11,17.3,55,27.5,17.6,-0.00645086419810515,0
29.2,0.0,20.7,3,340,27.59,0,18,17.6,55,26.5,10.4,-0.023651127245231586,0
29.0,0.0,19.2,1,325,28.07,0,8,17.6,56,25.0,8.3,-0.04084439154329611,0
29.1,0.0,21.2,0,315,28.65,0,0,17.4,55,26.7,9.0,-0.05802556932878035,0
29.2,0.0,13.9,0,312,27.9,0,2,17.9,55,21.6,4.7,-0.07518957641475855,0
30.4,0.0,16.9,3,331,27.98,0,11,18.3,55,22.7,11.2,-0.09233133369539122,0
29.8,0.0,23.3,3,329,27.88,0,23,18.3,57,25.2,10.4,-0.10944576864891556,0
29.2,0.0,17.3,0,321,28.69,0,0,15.8,48,26.1,7.9,-0.12652781683868314,0
29.3,0.0,17.4,1,336,28.54,0,4,16.8,54,18.4,7.9,-0.1435724234118113,0
30.0,0.0,20.9,1,3,28.13,0,4,17.5,52,26.2,9.0,-0.16057454459499376,0
29.8,0.0,15.0,0,348,28.98,0,0,15.1,48,21.8,9.4,-0.17752914918703497,0
30.1,0.0,13.7,0,353,28.99,0,0,15.7,48,17.7,10.4,-0.19443122004766195,0
30.8,0.0,18.0,0,4,28.52,0,0,16.6,47,21.7,12.6,-0.2112757555821793,0
30.4,0.0,17.8,0,10,29.02,0,0,15.8,48,25.0,10.8,-0.2280577712215198,0
30.9,0.0,15.1,0,6,29.11,0,0,13.1,39,23.1,12.2,-0.24477230089725957,0
30.4,0.0,16.1,0,344,29.33,0,0,14.0,43,22.8,10.1,-0.2614143985111562,0
29.2,0.0,24.2,3,328,27.33,0,17,18.1,57,31.3,13.0,-0.2779791393987801,0
27.7,0.0,20.0,1,319,27.67,0,6,16.4,54,26.9,11.2,-0.2944616217868012,0
28.1,0.0,19.2,1,329,28.05,0,6,16.2,52,24.3,8.6,-0.3108569682435036,0
28.8,0.0,12.9,0,315,28.41,0,1,15.1,50,19.0,6.5,-0.3271603271220951,0
30.5,0.0,20.3,0,7,28.31,0,0,15.3,46,22.2,11.5,-0.34336687399638804,0
29.7,0.0,21.0,0,1,28.07,0,0,16.5,50,25.4,13.3,-0.3594718130884232,0
28.5,0.0,18.6,0,357,28.38,0,0,15.5,51,26.8,10.8,-0.3754703786876202,0
28.7,0.0,21.4,0,335,28.12,0,0,16.9,54,28.9,8.6,-0.3913578365610259,0
30.0,0.0,20.1,0,337,28.22,0,0,16.9,53,22.9,9.0,-0.4071294853542516,0
30.6,0.0,16.6,0,341,28.26,0,0,15.4,46,20.5,8.6,-0.4227806579826773,0
29.4,0.0,19.1,2,345,27.63,0,12,17.1,54,24.3,11.5,-0.4383067230125192,0
28.9,0.0,18.7,1,346,27.49,0,8,17.6,56,27.5,11.5,-0.45370308603134424,0
